methodology_id,name,methodology_link,created,last_updated
OC_METHODOLOGY_1,BAU target https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Afghanistan%20First/INDC_AFG_20150927_FINAL.pdf,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_2,"Unconditionally, the target it is to achieve a 21% emission reduction by 2030, equivalent to an estimated mitigation level of 23,3 million tCO2e in that year. In addition, it is expected that through a conditional mitigation scenario the country could reduce an additional 15% below BAU emission levels by 2030, equivalent to an estimated mitigation level of 39,7 million tCO2e in that year https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_3,"Target for net zero by 2050 declared (https://climateactiontracker.org/countries/argentina/targets/), but very briefly, with most focus on curbing emissions to 349/359 by 2030",https://climateactiontracker.org/countries/argentina/targets/,2022-10-11,2022-10-11
OC_METHODOLOGY_4,Following EU set out regulations https://ec.europa.eu/clima/eu-action/european-green-deal/2030-climate-target-plan_en,https://www.climatewatchdata.org/countries/AUT?end_year=2018&start_year=1990#ndc-content-overview,2022-10-11,2022-10-11
OC_METHODOLOGY_5,"Belgium's end emission targets are not set at the federal level but are instead determined by its constituent regions. Namely, Wallonia and Brussels-Capital region aims for carbon neutrality by 2050, Flanders aims for 85% reduction in non-ETS sectors by 2050 (compared to 2005) See: https://unfccc.int/sites/default/files/resource/LTS_BE_EN_summary.pdf",https://unfccc.int/sites/default/files/resource/LTS_BE_EN_summary.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_6,"Member of CAA; https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Benin%20First/CDN_BENIN_VERSION_ANGLAISE.pdf https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf The target includes both conditional and unconditional measures. The unconditional target is 214.03 vs 241.98 BAU (Mte CO2) 12 mesures ont été envisagées dans le secteur Energie et sont susceptibles de contribuer à réduire les émissions de carbone noir d’environ 1,8 Mt en 2030 par rapport au scénario de référence, soit une réduction de 14,2 % - an additional target for solid carbon pollution A 2018 law exists relating to mitigating climate change, but does not cover this target. It requires that climate change is incorporated in development plans. https://sgg.gouv.bj/doc/loi-2018-18/",https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_7,https://climateanalytics.org/media/decarbonisingasia2019-profile-bangladesh-climateanalytics.pdf https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bangladesh%20First/NDC_submission_20210826revised.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_8,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bahamas%20First/Bahamas_COP-22%20UNFCCC.pdf,https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_9,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belize%20First/Belize%20Updated%20NDC.pdf,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Belize%20First/Belize%20Updated%20NDC.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_10,"targets also include a lot of mitigation and adaptation dimensions given that Barbados is an island nation with particular vulnerabilities to increased storminess (e,g have a reefs to roofs strategy) https://htmlpreview.github.io/?https://github.com/WRI-ClimateWatch/ndc/blob/master/BRB-revised_first_ndc-EN.html https://www4.unfccc.int/sites/SubmissionsStaging/NationalReports/Documents/4693851_Barbados-NC2-1-Barbados%20SNC%20FINAL%20April%202018.pdf",https://htmlpreview.github.io/?https://github.com/WRI-ClimateWatch/ndc/blob/master/BRB-revised_first_ndc-EN.html,2022-10-11,2022-10-11
OC_METHODOLOGY_11,Other sources: https://www.gnhc.gov.bt/en/wp-content/uploads/2020/02/Climate-Change-Policy.pdf https://www4.unfccc.int/sites/submissions/INDC/Published%20Documents/Bhutan/1/Bhutan-INDC-20150930.pdf,https://htmlpreview.github.io/?https://github.com/WRI-ClimateWatch/ndc/blob/master/BTN-second_ndc-EN.html,2022-10-11,2022-10-11
OC_METHODOLOGY_12,https://www4.unfccc.int/sites/ndcstaging/publisheddocuments/central%20african%20republic%20first/indc_république%20centrafricaine_en.pdf,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_13,"Switzerlands' NDC is to be net zero by 2050, and a 50% emissions reduction by 2030 compared to 1990 levels. However this interim target was rejected by voters in a referendum in June 2020, so its legal status is uncertain. Source: https://www.loc.gov/item/global-legal-monitor/2021-06-25/switzerland-co2-act-amendment-rejected-by-voters/#:~:text=Article%20Switzerland%3A%20CO2%20Act%20Amendment,Voter%20turnout%20was%2059.68%25. https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-82140.html",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-82140.html,2022-10-11,2022-10-11
OC_METHODOLOGY_14,"2015 NDC - excluding emissions or removals from the Land Use, Land Use Change and Forestry (LULUCF) sector ""Chile is committed to reduce its CO2 emissions per GDP unit by 30% below their 2007 levels by 2030, considering a future economic growth which allows to implement adequate measures to reach this commitment. b) In addition, and subject to the grant of international monetary funds, the country is committed to reduce its CO2 emission per GDP unit by 2030 until it reaches a 35% to 45% reduction with respect to the 2007 levels, considering, in turn, a future economic growth which allows to implement adequate measures to achieve this commitment"" The 2020 NDC Target has an unconditional target and a conditional target. The unconditional target includes two scopes: 1) ""Chile commits to a GHG emission budget not exceeding 1,100 MtCO2eq between 2020 and 2030, with a GHG emissions maximum (peak) by 2025, and a GHG emissions level of 95 MtCO2eq by 2030."" * The absolute target excludes emissions or removals from the Land Use, Land Use Change and Forestry (LULUCF) sector. 2) ""Reduce total black carbon emissions by at least 25% by 2030, with respect to 2016 levels."" The conditional target - depending on international finance: ""Chile could exceed a 30% reduction, potentially with a reduction of up to 45% in net emissions by 2030 (including LULUCF), taking into account actions for GHG emissions mitigation and/or capture.""",https://www.bcn.cl/leychile/navegar?idNorma=1177286,2022-10-11,2022-10-11
OC_METHODOLOGY_60,"The NDC - and the CCC - makes a logical error by using the gross - net approach for its emissions projections. New Zealand excludes LULUCF emissions in the base year (2005) but accounts for them in the target year (2030). The net zero target has good legal architecture. However, in addition to biogenic methane, international aviation and shipping are outside of the target’s scope, and the government reserves the right to use of international offset credits to meet the target.",https://www.legislation.govt.nz/act/public/2019/0061/latest/LMS183848.html,2022-10-11,2022-10-11
OC_METHODOLOGY_709,2020 report - neutral by offsetting emissions,https://www.knorr-bremse.com/en/responsibility/,2022-10-11,2022-10-11
OC_METHODOLOGY_15,"China submitted its first long-term strategy (LTS) to the UNFCCC in October 2021, including the target to become carbon neutral before 2060. China has been speeding up the process to tackle environmental problems since 2012. There have been 3 main sets of policy actions. The first one was announced in 2013, where the action focused on solving air pollution. The second one was announced in 2017, where the policy is on the industrial side and the capacities of heavy polluted industries such as steel manufacturing were limited. The third one was announced in 2017, where tackling pollution was listed as the 3 main ""battles"" that China will focus on during 2018-2020. These actions accumulated experience for the Chinese government to deal with environmental problems, and finally confirms its net zero timeline in Sep 2020.",https://unfccc.int/sites/default/files/resource/China%E2%80%99s%20Mid-Century%20Long-Term%20Low%20Greenhouse%20Gas%20Emission%20Development%20Strategy.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_16,Commitment period: 2021 - 2030. Reduction level: 21%. NDC submitted to UNFCC. 21% is broken down into 2% unconditional and 19% conditional (on external financing) Target and BAU emissions are not given (estimated from figures in NDC text),https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20Republic%20of%20the%20Congo%20First/CDN%20Revis%C3%A9e%20de%20la%20RDC.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_17,https://www.climate-transparency.org/wp-content/uploads/2021/01/Colombia-CT-2020.pdf https://www.oecd.org/regional/RO2021%20Colombia.pdf,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Colombia%20First/NDC%20actualizada%20de%20Colombia.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_18,"Already net negative, policy to reduce emissions further involve reducing sectoral emissions and improving LULUCF sink https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Comoros%20First/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf",https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_19,"By 2030, Cabo Verde commits to reduce economy-wide GHG emissions by 18% below the BAU scenario. Conditional on adequate international support, this reduction target may go up to 24% below the BAU scenario. The 2030 commitments are set with the long-term goal of achieving a decarbonised net-zero emissions economy by 2050. https://www.climatewatchdata.org/countries/CPV?end_year=2018&start_year=1990",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cabo%20Verde%20First/Cabo%20Verde_NDC%20Update%202021.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_20,"The actions are divided into three major stages: a) foundations stage (2018-2022), b) inflexion stage (2023-2030) and c) transformation normalization stage or massive deployment (2031-2050). E.g. By 2030, the electricity matrix operates at 100% with renewable energy.",https://cambioclimatico.go.cr/wp-content/uploads/2020/01/NationalDecarbonizationPlan.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_21,https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf,https://ec.europa.eu/energy/sites/default/files/documents/cy_final_necp_main_en.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_22,https://ec.europa.eu/energy/sites/default/files/documents/cs_final_necp_main_en.pdf,https://www.europarl.europa.eu/RegData/etudes/BRIE/2021/689329/EPRS_BRI(2021)689329_EN.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_23,"Reduction is of 2Mt- could not find target vs BAU numbers An additional US $1.6 billion, conditional on new funding sources like the Green Climate Fund, along with international support, would enable the country to reduce its emissions by a further 20% by 2030. [meta]- would be good for a french speaking person to recheck the original text",https://www.climatewatchdata.org/ndcs/country/DJI/full?document=first_ndc,2022-10-11,2022-10-11
OC_METHODOLOGY_24,8 out of 10 political parties voted to enshrine the 2050 and 2030 climate targets into law in 2020 and so the broad political coalition provides stable support for the Climate Act.,https://en.kefm.dk/news/news-archive/2019/dec/during-the-cop-denmark-passes-climate-act-with-a-70-percent-reduction-targetws-page-eng,2022-10-11,2022-10-11
OC_METHODOLOGY_25,Target Emissions and BAU emissions are in thousand GgCO2eq,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-DR%20August%202015%20(unofficial%20translation).pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_26,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eritrea%20First/NRC%20Eritrea.pdf,https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_27,"Link to all targets: https://boe.es/buscar/act.php?id=BOE-A-2021-8447#:~:text=%5B-,Bloque,-7%3A%20%23a3%5D End target: carbon neutrality by 2050. Interim target: reduce greenhouse gasses by 23% in comparison with levels in 1990.",https://boe.es/buscar/act.php?id=BOE-A-2021-8447#top,2022-10-11,2022-10-11
OC_METHODOLOGY_28,Estonia also have a target set by the EU of 13% reduction in GHG emissions compared to the 2005 level by 2030 https://ec.europa.eu/energy/sites/ener/files/documents/ee_final_necp_main_en.pdf,https://www.europarl.europa.eu/thinktank/de/document.html?reference=EPRS_BRI%282021%29690684,2022-10-11,2022-10-11
OC_METHODOLOGY_29,"A new climate plan is being released in 2021 that will focus more on carbon neutrality. https://ym.fi/en/-/annual-climate-report-2021-emissions-in-finland-declined-in-the-exceptional-year#:~:text=Annual%20Climate%20Report%202021%3A%20Emissions%20in%20Finland%20declined,Climate%20Report%20to%20Parliament%20on%20Wednesday%2023%20June.",https://ym.fi/en/finland-s-national-climate-change-policy,2022-10-11,2022-10-11
OC_METHODOLOGY_30,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/Republic%20of%20Fiji's%20Updated%20NDC%2020201.pdf http://www.economy.gov.fj/images/CCIC/uploads/BILL/Draft-Climate-Change-Bill.pdf,https://unfccc.int/sites/default/files/resource/Fiji_Low%20Emission%20Development%20%20Strategy%202018%20-%202050.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_31,"other URL -> https://www.ecologie.gouv.fr/sites/default/files/2018.12.20_PNACC2.pdf https://www.ecologie.gouv.fr/sites/default/files/Projet%20SNBC%20EN.pdf The ecological and inclusive transition integrates climate issues into their two components: mitigation by reducing greenhouse gas emissions, to limit the impact of human activities on the climate and the environment, and adaptation to the effects of climate change, to limit the negative impacts of this climate change on human societies and the environment Renewable energy: ""A new target for increasing renewable energy in final energy consumption has been set to reach at least 32% by 2030, which will represent almost a doubling from 2017 levels""",https://www.climatewatchdata.org/countries/FRA,2022-10-11,2022-10-11
OC_METHODOLOGY_61,"100% renewable energy (also referred to as ""carbon free"") by 2030, contingent on funding being made available. Interim target: https://sustainabledevelopment.un.org/index.php?page=view&type=99&nr=28&menu=1449 https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Papua%20New%20Guinea%20First/PNG_INDC%20to%20the%20UNFCCC.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_32,"The 'Climate Change Act 2008 (2050 Target Amendment) Order 2019' (https://www.legislation.gov.uk/uksi/2019/1056/made) puts the net-zero by 2050 target into law, replacing the 80% reduction target from 2008 with 100%. The UK's NDC for the UNFCCC in 2020 (https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/United%20Kingdom%20of%20Great%20Britain%20and%20Northern%20Ireland%20First/UK%20Nationally%20Determined%20Contribution.pdf) commits to a 68% reduction of 1990 reductions by 2030. Sixth Carbon Budget (2021), which came into law in the Carbon Budget Order 2021 (https://www.legislation.gov.uk/uksi/2021/750/made): 965Mt CO2e for 2033-2037, which equates to a 78% reduction compared to 1990 levels by 2035. ""The new target will become enshrined in law by the end of June 2021, with legislation setting out the UK government’s commitments laid in Parliament tomorrow (Wednesday 21 April)"" https://www.gov.uk/government/news/uk-enshrines-new-target-in-law-to-slash-emissions-by-78-by-2035",https://www.gov.uk/government/publications/net-zero-strategy,2022-10-11,2022-10-11
OC_METHODOLOGY_33,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea%20First/INDC_Guinea_english_version%20UNFCCC.pdf,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_34,"Already net GHG sink country, but it is nevertheless willing to make efforts to further reduce their emissions [through reducing deforestation] Unconditional reduction- 10% Conditional- 30%",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guinea-Bissau%20First/NDC-Guinea%20Bissau-12102021.Final.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_35,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20First/Grenada%20INDC.pdf https://sdg.iisd.org/commentary/policy-briefs/grenadas-second-ndc-confirms-40-emission-reduction-target-investment-law-under-scrutiny-for-hampering-energy-transition/,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Grenada%20Second/GrenadaSecondNDC2020%20-%2001-12-20.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_36,Other URLs https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Guyana%20First/Guyana's%20revised%20NDC%20-%20Final.pdf https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,http://spappssecext.worldbank.org/sites/indc/PDF_Library/gy.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_37,https://www.climatelinks.org/resources/greenhouse-gas-emissions-factsheet-haiti,https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_38,https://www.parlament.hu/irom41/07021/07021-0010.pdf,https://www.parlament.hu/irom41/07021/07021-0010.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_39,2050 Net Zero goal is in law within the Climate Action and Low Carbon Development (Amendment) Bill 2021 [see https://www.gov.ie/en/publication/984d2-climate-action-and-low-carbon-development-amendment-bill-2020/],https://static.rasset.ie/documents/news/2020/06/draft-programme-for-govt.pdfhttps://www.gov.ie/pdf/?file=https://assets.gov.ie/42213/752d5346b9c6407b9125fdadfa0738a4.pdf#page=1,2022-10-11,2022-10-11
OC_METHODOLOGY_40,Included in new NDC document.,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/Iceland_updated_NDC_Submission_Feb_2021.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_41,"EU Climate Law includes: recognition of the need to enhance the EU’s carbon sink through a more ambitious LULLUCF regulation, for which the Commission made a proposal in July 2021, and a commitment to negative emissions post 2050. (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1119&qid=1651147232273). Italy has submitted a National Long-Term Strategy to achieve ""climate neutrality"" by 2050 in accordance with the Paris Agreement. Its National Energy and Climate Plan (NECP) also references an objective of decarbonisation by 2050 and sets interim targets for 2030. The EU's European Climate Law brings the European Green Deal (and hence the 2050 target) into law: https://ec.europa.eu/clima/policies/eu-climate-action/law_en Italy has submitted a National Long-Term Strategy to achieve ""climate neutrality"" by 2050 in accordance with the Paris Agreement. Its National Energy and Climate Plan (NECP) also references an objective of decarbonisation by 2050 and sets interim targets for 2030. The EU's European Climate Law brings the European Green Deal (and hence the 2050 target) into law: https://ec.europa.eu/clima/policies/eu-climate-action/law_en The interim target is reported as 33% emissions reductions compared to 2005 for now. We feel 40% reductions compared to 1990 may be more accurate but the system does not allow entry of a year prior to 2000. National Long-Term Strategy (January 2021): see source URL below or English-language summary at https://ec.europa.eu/clima/sites/lts/lts_it_sum_en.pdf National Energy and Climate Plan (published January 2020): https://ec.europa.eu/energy/sites/default/files/documents/it_final_necp_main_en.pdf",https://ec.europa.eu/clima/sites/lts/lts_it_it.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_42,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf The latest research suggests that 100% renewable power should be possible in Jamaica by 2055. Switching to more resilient or easily repairable types of energy infrastructure can also help minimise impacts on tourism and transport sectors by reducing the impact of storms. - from COP26 Business-as-usual emissions in the energy sector in 2030: 8.2MtCO2e • Business-as-usual emissions related to land use change and forestry sector in 2030: -1.0MtCO2e • Total business-as-usual emissions in 2030 of sectors in the NDC: 7.2MtCO2e 25.4% reduction relative to business-as-usual emissions in 2030 without international support (unconditional) • 28.5% reduction relative to business-as-usual emissions in 2030 conditional upon international support,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Jamaica%20First/Updated%20NDC%20Jamaica%20-%20ICTU%20Guidance.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_43,"Japan aims to reduce its greenhouse gas emissions by 46 percent, equivalent to the reduction of 76 million t-CO2, in fiscal year 2030 from its fiscal year 2013 levels. Furthermore, Japan will continue strenuous efforts in its challenge to meet the lofty goal of cutting its emission by 50 percent from its fiscal year 2013 levels.",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Japan%20First/JAPAN_FIRST%20NDC%20(INTERIM-UPDATED%20SUBMISSION).pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_44,"Kiribati’s conditional contribution (with international assistance) will reduce emissions by 35,880tCO2e annually by 2025.",https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_62,"In some parts of the text, the Portuguese government compares the target with the 2005 baseline, as it follows: Carbon neutrality by 2050 is economically and technologically feasible and is based on a reduction in emissions of between 85% and 90% by 2050, compared with 2005 and offsetting the remaining emissions through a carbon sink provided by land use and forests. The trajectory to neutrality allows the anticipation of greenhouse gas emission reductions of between -45% and -55% by 2030 and between -65% and -75% by 2040, compared to 2005.",https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_45,"Changes to the NDC explained: '[...] St. Kitts and Nevis’ first NDC pledged to decrease emissions by 35% against a business-as-usual scenario. However, based on observations over the past 5 years, this business-as-usual scenario was overestimating GDP growth and carbon intensity of the economy. In consequence, the proposed target of 35% reduction by 2030 against the BAU in the first NDC would effectively have resulted in a 115% increase in emissions compared to 2010.[...]' '[...]In absolute terms, the first NDC proposed a target emission of no more than 529 GgCO2e, while this revised NDC proposes to reduce emissions to 124 GgCO2e. The base year 2010’s emissions were 253 GgCO2e excluding forestry. This emissions reduction largely comes from the energy sector, namely from power generation and transportation, which emit the largest share of GHG emissions in the country. The proposed intervention in this revised NDC includes 100% renewable energy for power generation and electrification of 2% of the total vehicle fleet.[...]'",https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_46,"Under this vision, the Republic of Korea aims to limit the national GHG emissions to 536 MtCO2eq by 2030 and enhance capacity of all sectors to implement the Paris Agreement. Korean Green New Deal: https://english.moef.go.kr/pc/selectTbPressCenterDtl.do?boardCd=N0001&seq=4948",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Republic%20of%20Korea%20First/201230_ROK's%20Update%20of%20its%20First%20NDC_editorial%20change.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_47,"Interim target for 2030 is unconditional on international support. However additional measures could be implemented with international support, allowing for a more ambitious target. Net zero aim is conditional on international support.","https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lao%20People%27s%20Democratic%20Republic%20First/NDC%202020%20of%20Lao%20PDR%20(English),%2009%20April%202021%20(1).pdf",2022-10-11,2022-10-11
OC_METHODOLOGY_48,Gg to tons: 1 G = 10^9 hence 1 Gg = 10^9 g = 10^6 kg = 10^3 t = 1000 t,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Lebanon%20First/Lebanon%27s%202020%20Nationally%20Determined%20Contribution%20Update.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_49,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Liberia%20First/INDC%20Final%20Submission%20Sept%2030%202015%20Liberia.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_50,"https://ec.europa.eu/energy/sites/ener/files/documents/lu_final_necp_main_en.pdf In law according to https://crsreports.congress.gov/product/pdf/R/R46945 15/12/2020 law: https://legilux.public.lu/eli/etat/leg/loi/2020/12/15/a994/jo#:~:text=La%20pr%C3%A9sente%20loi%20%C3%A9tablit%20un,par%20rapport%20aux%20niveaux%20pr%C3%A9industriels.","https://legilux.public.lu/eli/etat/leg/loi/2020/12/15/a994/jo#:~:text=La%20pr%C3%A9sente%20loi%20%C3%A9tablit%20un,par%20rapport%20aux%20niveaux%20pr%C3%A9industriels.",2022-10-11,2022-10-11
OC_METHODOLOGY_51,https://unfccc.int/sites/default/files/resource/LTS1_Latvia.pdf https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Austria%20First/LV-03-06-EU%20INDC.pdf - Older info from 2015,https://ec.europa.eu/clima/sites/lts/lts_lv_en.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_52,https://en.gouv.mc/Policy-Practice/The-Environment/The-Climate-and-Energy-Plan-in-the-town,https://www.docdroid.net/gavlB6o/190922-rmi-unsg-summit-release-leaders-statement-final-combined-pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_53,https://backend.orbit.dtu.dk/ws/files/96933631/LCDS_report_final_June_2014.pdfhttp://extwprlegs1.fao.org/docs/pdf/mdv172920.pdf https://crsreports.congress.gov/product/pdf/R/R46945,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Maldives%20First/Maldives%20Nationally%20Determined%20Contribution%202020.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_54,"none of the targets have been achieved https://climate-laws.org/ https://www.carbonbrief.org/perfil-carbon-brief-mexico (this was translated by google ) spanish version was checked Mexico has been seen as a leader in the subject https://www.scientificamerican.com/article/mexico-approves-landmark-climate-law/ He is often described as a climate leader among the poorest countries. However, as one study states : ""Mexico's climate leadership consists mostly of promises and the adoption of legislation, but its actions have not yet modified its greenhouse gas emissions.""López Obrador has financed the state-owned company Petróleos Mexicanos (Pemex) and slowed the rise of private renewable energy projects in favor of energy self-sufficiency based on fossil fuels. In addition, he has cut the budget of the Ministry of the Environment and Natural Resources as part of a government austerity program and has criticized environmental NGOs in Mexico for their alleged links with foreign governments. As a result of all this, Bloomberg has affirmed that the Mexican president has the ""rare distinction of being a leader with leftist roots whose environmental policy is closer to the deniers of the right-wing climate. ""https://ember-climate.org/wp-content/uploads/2021/03/Global-Electricity-Review-2021-Mexico.pdf",https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,2022-10-11,2022-10-11
OC_METHODOLOGY_55,https://unfccc.int/sites/default/files/resource/180924%20rmi%202050%20climate%20strategy%20final_0.pdf https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Marshall%20Islands%20First/20181122%20Marshall%20Islands%20NDC%20to%20UNFCCC%2022%20November%202018%20FINAL.pdfhttps://www.docdroid.net/W2hK5Qj/180924-rmi-2050-climate-strategy-final-pdf#page=2,https://unfccc.int/sites/default/files/resource/180924%20rmi%202050%20climate%20strategy%20final_0.pdf,2022-10-11,2022-10-11
